Zeit von [CET/CEST],Zeit bis [CET/CEST],Wind [MW],Solar [MW],Biomasse [MW],Gas [MW],Kohle [MW],Öl [MW],Geothermie [MW],Pumpspeicher [MW],Lauf- und Schwellwasser [MW],Speicher [MW],Sonstige Erneuerbare [MW],Müll [MW],Andere [MW],date
19.08.2021 00:00:00,19.08.2021 00:15:00,10600,12680,15360,38.39999999999993,0,0,6.912000000000004,59060.399999999994,385548,98361.59999999999,0,9600,2112,19.08.2021
20.08.2021 00:00:00,20.08.2021 00:15:00,3136,11536,15360,0,0,0,6.912000000000004,121396.00000000003,383021.5999999998,109798.80000000003,0,9600,2112,20.08.2021
21.08.2021 00:00:00,21.08.2021 00:15:00,3268,15456,15360,42564.000000000015,0,0,6.912000000000004,63567.99999999999,360025.99999999994,93617.19999999997,0,9600,2112,21.08.2021
22.08.2021 00:00:00,22.08.2021 00:15:00,10748,13248,14632,38.39999999999993,0,0,6.912000000000004,-45224.40000000002,333590,70609.19999999998,0,9600,2112,22.08.2021
23.08.2021 00:00:00,23.08.2021 00:15:00,64988,11104,14488,38.39999999999993,0,0,6.912000000000004,47836.00000000001,391260.79999999993,99085.60000000002,0,9600,2112,23.08.2021
24.08.2021 00:00:00,24.08.2021 00:15:00,104456,7412,14592,32497.19999999999,0,0,6.912000000000004,82451.99999999997,402372.39999999997,89293.60000000002,0,9600,2112,24.08.2021
25.08.2021 00:00:00,25.08.2021 00:15:00,70168,14072,14924,70181.2,0,0,6.912000000000004,25102.399999999987,421032.0000000001,68516.80000000002,0,9600,2112,25.08.2021
26.08.2021 00:00:00,26.08.2021 00:15:00,62460,9080,14596,20024.399999999998,0,0,6.912000000000004,106239.19999999998,373897.6,87881.59999999999,0,9600,2112,26.08.2021
27.08.2021 00:00:00,27.08.2021 00:15:00,40488,10612,14596,41119.99999999999,0,0,6.912000000000004,100963.19999999998,405282.4000000002,91387.20000000004,0,9600,2112,27.08.2021
28.08.2021 00:00:00,28.08.2021 00:15:00,19624,9768,14784,369.59999999999786,0,0,6.912000000000004,32439.199999999993,418960.79999999993,72286.8,0,9600,2112,28.08.2021
29.08.2021 00:00:00,29.08.2021 00:15:00,96040,10568,13124,38.39999999999993,0,0,6.912000000000004,-39607.6,420253.6,76717.19999999998,0,9600,2112,29.08.2021
30.08.2021 00:00:00,30.08.2021 00:15:00,50384,8216,14712,718.4000000000001,0,0,6.912000000000004,89480,409960.39999999985,116617.20000000001,0,9600,2112,30.08.2021
31.08.2021 00:00:00,31.08.2021 00:15:00,129212,7684,15336,1764.4,0,0,6.912000000000004,56750.400000000016,411077.2000000001,106360.4,0,9600,2112,31.08.2021
01.09.2021 00:00:00,01.09.2021 00:15:00,175544,12340,14592,1915.9999999999993,0,0,6.912000000000004,53913.99999999999,430108.39999999985,95664.40000000002,0,9600,2112,01.09.2021
02.09.2021 00:00:00,02.09.2021 00:15:00,46884,13576,14592,1111.9999999999993,0,0,6.912000000000004,64048.799999999996,427718.79999999993,91521.19999999998,0,9600,2112,02.09.2021
03.09.2021 00:00:00,03.09.2021 00:15:00,808,14336,14692,2731.6,0,0,6.912000000000004,70640.40000000001,418869.20000000007,78834.4,0,9600,2112,03.09.2021
04.09.2021 00:00:00,04.09.2021 00:15:00,716,14980,14976,45.1999999999999,0,0,6.912000000000004,12516,400436.39999999985,64658.39999999999,0,9600,2112,04.09.2021
05.09.2021 00:00:00,05.09.2021 00:15:00,20952,15204,14592,68.79999999999988,0,0,6.912000000000004,-52316.40000000001,368950.8000000001,48966.00000000001,0,9600,2112,05.09.2021
06.09.2021 00:00:00,06.09.2021 00:15:00,6472,13480,14592,3577.9999999999995,0,0,6.912000000000004,65672.00000000001,339413.60000000003,88491.99999999997,0,9600,2112,06.09.2021
07.09.2021 00:00:00,07.09.2021 00:15:00,6868,11848,14672,4786.8,0,0,6.912000000000004,38060.000000000015,330120.39999999985,89946.4,0,9600,2112,07.09.2021
08.09.2021 00:00:00,08.09.2021 00:15:00,67728,13524,14752,4851.999999999998,0,0,6.912000000000004,25907.2,322024.79999999993,72252.80000000005,0,9600,2112,08.09.2021
09.09.2021 00:00:00,09.09.2021 00:15:00,117728,13500,14768,4535.199999999998,0,0,6.912000000000004,59089.99999999999,296447.6,81109.59999999999,0,9600,2112,09.09.2021
10.09.2021 00:00:00,10.09.2021 00:15:00,42516,12888,14976,4139.2,0,0,6.912000000000004,73705.59999999999,292847.6000000001,86530.79999999996,0,9600,2112,10.09.2021
11.09.2021 00:00:00,11.09.2021 00:15:00,6612,12116,14920,59.599999999999916,0,0,6.912000000000004,11636.4,293934.7999999999,49853.200000000004,0,9600,2112,11.09.2021
12.09.2021 00:00:00,12.09.2021 00:15:00,10164,11872,14808,3180.7999999999993,0,0,6.912000000000004,-112015.99999999997,281418.80000000016,35365.59999999999,0,9600,2112,12.09.2021
13.09.2021 00:00:00,13.09.2021 00:15:00,8724,11352,14156,27515.59999999999,0,0,6.912000000000004,41600.399999999994,260115.60000000003,63079.599999999984,0,9600,2112,13.09.2021
14.09.2021 00:00:00,14.09.2021 00:15:00,7024,11988,14152,32411.2,0,0,6.912000000000004,97016.40000000002,257725.19999999998,69810.80000000002,0,9600,2112,14.09.2021
15.09.2021 00:00:00,15.09.2021 00:15:00,11820,11604,13448,23401.600000000002,0,0,6.912000000000004,105067.60000000005,255054.79999999993,74695.59999999999,0,9600,2112,15.09.2021
16.09.2021 00:00:00,16.09.2021 00:15:00,31848,8728,14096,49032.400000000016,0,0,6.912000000000004,60283.2,266918.79999999993,52632.800000000025,0,9600,2112,16.09.2021
17.09.2021 00:00:00,17.09.2021 00:15:00,135960,8616,14160,32393.6,0,0,6.912000000000004,-21804.4,312498.80000000005,48612.8,0,9600,2112,17.09.2021
18.09.2021 00:00:00,18.09.2021 00:15:00,43300,10436,14440,32060.4,0,0,6.912000000000004,-46199.99999999999,302087.6000000001,24471.200000000015,0,9600,2112,18.09.2021
